id,type,identifier,label,familyName,givenName,sortLabel,officialFamilyName,officialGivenName
person/4545,Person,4545,Catherine STIHLER,Stihler,Catherine,STIHLER,,
person/517,Person,517,Jean DURIEUX,Durieux,Jean,DURIEUX,,
person/96765,Person,96765,Verónica LOPE FONTAGNÉ,Lope Fontagné,Verónica,LOPEFONTAGNE,,
person/1547,Person,1547,José PEREIRA LOPEZ,Pereira Lopez,José,PEREIRALOPEZ,,
person/244571,Person,244571,Nikos PAPANDREOU,Papandreou,Nikos,PAPANDREOUNIKOS,Παπανδρέου,Νίκος
person/135491,Person,135491,María Teresa GIMÉNEZ BARBAT,Giménez Barbat,María Teresa,GIMENEZBARBAT,,
person/197658,Person,197658,Adrian-Dragoş BENEA,Benea,Adrian-Dragoş,BENEA,,
person/1522,Person,1522,Leopold SPÄTH,Späth,Leopold,SPAETH,,
person/28263,Person,28263,Lasse LEHTINEN,Lehtinen,Lasse,LEHTINEN,,
person/96954,Person,96954,Marta ANDREASEN,Andreasen,Marta,ANDREASEN MARTA,,
person/4263,Person,4263,Pierre SCHORI,Schori,Pierre,SCHORI,,
person/948,Person,948,Mathilde M. VAN DEN BRINK,Van Den Brink,Mathilde M.,BRINK,,
person/96763,Person,96763,Pablo ZALBA BIDEGAIN,Zalba Bidegain,Pablo,ZALBABIDEGAIN,,
person/125108,Person,125108,Louis IDE,Ide,Louis,IDE,,
person/1581,Person,1581,Jean MOUCHEL,Mouchel,Jean,MOUCHEL,,
person/549,Person,549,Pierre BOURDELLÈS,Bourdellès,Pierre,BOURDELLES,,
person/257037,Person,257037,Michał KOBOSKO,Kobosko,Michał,KOBOSKOM,,
person/928,Person,928,Giorgio AMENDOLA,Amendola,Giorgio,AMENDOLAGIO,,
person/194658,Person,194658,Anders SELLSTRÖM,Sellström,Anders,SELLSTROM,Селстрьом,Андерс
person/28268,Person,28268,Danutė BUDREIKAITĖ,Budreikaitė,Danutė,BUDREIKAITE,,
person/1759,Person,1759,Dominique BAUDIS,BAUDIS,Dominique,BAUDISD,,
person/4271,Person,4271,Elisabeth JEGGLE,Jeggle,Elisabeth,JEGGLE,,
person/950,Person,950,Georgios ALEXIADIS,Alexiadis,Georgios,ALEXIADIS,Αλεξιάδης,Γεώργιος
person/257072,Person,257072,Tomasz BUCZEK,Buczek,Tomasz,BUCZEKT,,
person/1379,Person,1379,Norman WEST,WEST,Norman,WEST,,
