member_id,2008-06,2009-01,2009-02,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
198490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,12,6,3,12,5,3,11,6,3,7,10,2,8,7,5,7,8,5,3,12,5,3,11,7,4,11,6,4,11,5,4,10,5,5,10,5,4,10,7,4,10,6,4,10,3,7,9,4,6,9,3,3,14,1,1,9,5,0,3,8
130100.0,0,0,0,0,0,0,0,0,0,2,3,1,9,3,5,0,0,7,2,2,5,1,5,3,3,5,5,5,2,1,4,5,0,5,5,7,3,6,3,3,4,7,3,3,6,7,2,6,0,5,8,7,2,1,2,3,2,1,3,0,0,5,0,5,5,1,2,6,3,2,10,3,3,4,3,9,7,3,6,4,4,10,6,1,8,5,1,2,4,10,3,7,2,2,2,2,1,4,0,1,3,5,1,3,5,5,2,2,1,1,1,1,1,2,0,0,2,3,2,0,0,1,5,2,2,2,2
124831.0,0,0,0,1,0,6,5,7,10,10,14,8,15,4,4,6,1,5,4,1,5,5,5,5,4,5,6,5,5,4,6,4,4,2,6,12,4,1,9,10,0,5,5,7,4,1,9,3,2,4,11,5,2,7,1,9,1,3,4,7,3,3,0,6,1,1,2,1,4,3,1,1,1,0,0,0,0,1,0,2,1,3,2,2,0,1,0,2,0,1,2,3,2,5,1,0,2,0,0,3,0,0,0,2,1,2,0,0,1,2,0,3,4,1,0,2,3,1,2,0,0,0,0,0,0,0,0
124813.0,0,0,0,3,0,4,7,5,10,17,23,22,32,18,19,10,1,7,3,6,5,5,6,3,5,6,6,3,1,4,3,4,3,2,4,1,4,5,4,5,1,7,4,7,4,4,5,4,3,9,6,1,3,7,4,4,0,2,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8,4,0,4,4
124790.0,0,0,0,0,0,0,0,0,0,2,5,72,20,18,16,8,1,6,5,8,7,8,8,8,7,9,8,7,1,9,8,7,8,10,1,13,0,7,1,12,0,8,12,0,6,12,0,0,7,0,6,14,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130833.0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,7,2,2,7,1,4,4,6,6,4,6,4,7,5,5,8,8,4,3,5,14,5,2,2,9,10,0,6,5,5,0,5,6,3,0,1,4,0,0,5,1,5,0,1,1,3,3,3,0,3,6,4,4,4,3,8,3,4,4,4,0,3,2,2,3,1,3,5,3,2,3,4,1,3,4,4,2,5,2,2,3,2,1,3,2,2,3,1,2,2,4,8,2,1,4,2,2,3,3,4,2,2,3,1,5,0,0,0,0,0,0,0,0
125038.0,0,0,0,3,1,3,4,22,12,17,17,8,15,13,5,2,0,7,5,1,2,3,7,2,5,5,6,2,3,4,5,3,5,4,4,5,3,3,1,0,0,7,2,0,0,1,2,4,0,0,1,2,0,6,2,1,0,0,5,1,1,1,0,3,3,1,3,6,7,8,6,4,3,3,0,3,8,7,3,1,5,5,0,4,1,1,0,3,1,1,0,1,0,1,0,2,3,4,0,2,0,1,0,1,1,4,0,3,1,1,0,2,2,6,0,1,1,4,0,0,0,0,0,0,0,0,0
125043.0,0,0,0,4,0,5,3,13,10,10,8,11,5,3,1,6,0,5,5,2,5,5,5,5,5,2,5,5,5,4,5,5,5,6,2,8,4,6,6,6,1,11,5,2,4,3,6,0,0,6,1,0,5,5,2,0,8,0,0,3,16,5,0,5,3,0,2,5,0,5,4,4,1,2,1,7,3,2,1,1,3,3,3,0,2,1,0,0,1,0,0,0,2,2,3,2,0,1,2,0,1,1,1,0,1,1,1,1,2,0,0,2,3,0,0,0,6,1,1,0,0,0,0,0,0,0,0
124867.0,0,0,0,0,1,0,0,2,3,0,1,2,6,0,3,4,0,0,0,1,5,4,5,4,4,5,4,3,2,5,5,4,0,4,2,1,3,2,2,5,2,3,2,1,2,4,8,3,1,3,2,2,1,1,0,1,1,1,0,2,4,0,1,0,1,2,3,1,6,3,4,4,5,4,2,4,8,7,5,4,9,10,1,2,9,6,0,1,5,3,5,5,7,0,2,4,0,4,0,2,2,3,4,1,5,3,0,4,12,2,4,2,2,3,2,3,5,5,4,0,1,4,5,3,1,5,1
125045.0,0,0,0,8,1,6,4,9,8,6,7,7,7,11,7,3,0,3,5,3,4,5,5,3,5,5,6,5,2,5,2,6,3,7,4,5,3,4,7,7,1,6,2,4,3,2,6,1,4,6,4,1,0,4,7,1,0,2,2,3,6,0,0,1,0,4,1,1,1,3,1,3,1,2,0,5,3,3,1,1,6,7,1,0,5,0,0,1,0,7,2,0,4,1,0,4,2,1,0,5,2,3,0,1,0,4,0,1,1,2,1,3,0,0,4,3,2,2,1,0,0,0,0,0,0,0,0
125068.0,0,0,0,2,1,2,3,0,3,1,5,2,3,4,6,2,2,2,3,3,4,5,6,5,2,0,5,4,0,5,2,4,2,9,2,3,4,4,7,4,0,10,6,4,5,7,4,2,2,2,6,3,0,2,6,2,3,3,6,5,2,2,1,5,3,7,2,1,2,2,6,1,3,3,3,5,6,8,2,5,4,2,4,1,5,1,0,0,7,2,3,2,5,1,2,2,4,3,0,2,5,6,1,2,1,0,0,1,2,0,0,1,2,0,2,2,0,0,2,2,2,1,6,1,0,1,1
